"Address","Zip","District","TotalRecords","SevereConditions","DisplacementNotices","RedevelopPermits","ExemptionPermits","NoHeatComplaints","NoWaterComplaints","SewageComplaints","EvictionNotices","OpenUnresolved","YearsActive","Typology","chronic_severe","severe_plus_rdev","disp_plus_rdev"
"3400 SW HINDS ST","98126","1","1","1","0","0","0","0","0","0","0","0","2005","Other","0","0","0"
"816 NE 91ST ST","98115","5","4","1","0","0","0","0","0","0","0","1","2020;2021","Other","0","0","0"
"5500 PHINNEY AVE N","98103","6","7","1","0","0","0","0","0","0","0","1","2006;2009;2010;2019;2022;2024;2025","Other","0","0","0"
"6042 33RD AVE NE","98115","4","3","1","0","0","0","0","0","0","0","0","2016","Other","0","0","0"
"3267 38TH AVE SW","98126","1","1","1","0","0","0","0","0","0","0","0","2018","Other","0","0","0"
"6510 4TH AVE NE","98115","6","1","1","0","0","0","1","0","0","0","0","2021","Other","0","0","0"
"923 NW 58TH ST","98107","6","1","1","0","0","0","0","0","0","0","0","2023","Other","0","0","0"
"4326 WINSLOW PL N","98103","4","2","1","0","0","0","1","0","0","0","1","2005;2022","Other","0","0","0"
"6513 4TH AVE NE","98115","6","7","1","4","0","0","0","0","0","0","6","2020;2021;2022;2025","Other","0","0","0"
"2413 N 42ND ST","98103","4","2","1","0","0","0","0","0","0","0","0","2008","Other","0","0","0"
"6911 38TH AVE SW","98126","1","1","1","0","0","0","0","0","0","0","0","2006","Other","0","0","0"
"9832 35TH AVE SW","98126","1","1","1","0","0","0","0","0","1","0","0","2013","Other","0","0","0"
"2110 46TH AVE SW","98116","1","1","1","0","0","0","0","0","0","0","1","2024","Other","0","0","0"
"1302 S HANFORD ST","98144","2","10","1","0","0","0","0","0","0","0","0","2009;2010;2013;2015;2016;2017;2019","Other","0","0","0"
"2151 N 130TH ST","98133","5","3","1","1","0","0","1","0","0","1","0","2017;2018;2019","Other","0","0","0"
"3609 SW HOLDEN ST","98126","1","7","1","0","0","0","0","0","0","0","0","2009;2017;2020","Other","0","0","0"
"2301 7TH AVE","98121","7","4","1","0","0","0","0","0","0","0","0","2019;2022;2023","Other","0","0","0"
"1140 23RD AVE E","98112","3","2","1","0","0","0","0","0","0","0","0","2011;2019","Other","0","0","0"
"2145 N 113TH ST","98133","5","2","1","0","0","0","0","0","1","0","0","2005;2007","Other","0","0","0"
"323 NW 85TH ST","","6","6","1","0","0","0","0","0","0","0","0","2022;2024","Other","0","0","0"
"928 13TH AVE","98122","3","6","1","0","0","0","0","0","0","0","1","2016;2018;2019;2021","Other","0","0","0"
"6105 ROOSEVELT WAY NE","98115","4","18","1","2","0","0","3","0","0","0","3","2014;2015;2016;2017;2021;2022;2024;2025","UtilityLever","0","0","0"
"4953 S ROSE ST","98118","2","3","1","0","0","0","0","0","0","0","1","2020;2021","Other","0","0","0"
"5006 38TH AVE SW","98126","1","1","1","0","0","0","0","0","0","0","0","2011","Other","0","0","0"
"708 N 35TH ST","98103","6","7","1","0","0","0","0","0","0","0","3","2021;2025","Other","0","0","0"
"1501 CALIFORNIA AVE SW","98116","1","6","1","0","0","0","0","0","0","0","3","2016;2020;2021;2022;2023","Other","0","0","0"
"5700 34TH AVE NW","98107","6","5","1","0","0","0","0","1","0","0","0","2016;2017","Other","0","0","0"
"6556 4TH AVE NW","98117","6","1","1","0","0","0","0","0","0","0","0","2014","Other","0","0","0"
"60 E LYNN ST","98102","3","2","1","0","0","0","0","0","0","0","2","2022;2023","Other","0","0","0"
"2513 AURORA AVE N","98109","7","2","1","0","0","0","0","0","0","0","0","2012;2016","Other","0","0","0"
"6728 21ST AVE SW","98106","1","3","1","0","0","0","0","0","0","0","0","2024;2025","Other","0","0","0"
"7356 18TH AVE NE","98115","4","3","1","0","0","0","0","0","0","0","0","2021","Other","0","0","0"
"1000 NW 132ND ST","","5","8","1","0","0","0","0","0","0","0","1","2015;2017;2018;2020","Other","0","0","0"
"13717 20TH AVE NE","98125","5","3","1","0","0","0","0","0","0","0","0","2010;2012","Other","0","0","0"
"8823 ASHWORTH AVE N","98103","5","12","1","0","0","0","0","0","0","0","3","2023;2024","Other","0","0","0"
"8015 28TH AVE NW","98117","6","3","1","0","0","0","0","0","0","0","0","2017;2020","Other","0","0","0"
"1505 29TH AVE","98122","3","2","1","0","0","0","0","0","2","0","0","2007;2019","Other","0","0","0"
"3300 RAINIER AVE S","98144","2","5","1","0","0","0","0","0","0","0","1","2009;2021;2024","Other","0","0","0"
"13025 37TH AVE NE","98125","5","2","1","0","0","0","0","0","0","0","0","2020","Other","0","0","0"
"6750 15TH AVE SW","98106","1","5","1","0","0","0","0","0","0","0","0","2007;2009","Other","0","0","0"
"3500 FREMONT AVE N","","6","1","1","0","0","0","0","0","0","0","0","2021","Other","0","0","0"
"421 SUMMIT AVE E","98102","3","4","1","0","0","0","0","0","0","0","0","2003;2015","Other","0","0","0"
"1130 14TH AVE","98122","3","2","1","0","0","0","0","0","0","0","0","2007;2016","Other","0","0","0"
"7725 35TH AVE SW","98126","1","5","1","0","0","0","0","0","0","0","0","2015;2016;2018","Other","0","0","0"
"709 35TH AVE S","98144","3","3","1","0","0","0","0","0","0","0","0","2019;2021;2022","Other","0","0","0"
"6610 57TH AVE NE","98115","4","2","1","0","0","0","0","0","0","0","0","2019;2022","Other","0","0","0"
"9415 ROOSEVELT WAY NE","98115","5","6","1","0","0","0","0","0","0","0","0","2020;2021","Other","0","0","0"
"1552 NW 58TH ST","98107","6","12","1","1","0","0","0","0","0","0","4","2008;2015;2017;2019;2020","Other","0","0","0"
"6222 CHATHAM DR S","98118","2","6","1","0","0","0","0","0","0","0","0","2012;2020;2021;2022;2025","Other","0","0","0"
"120 N 46TH ST","98103","6","1","1","0","0","0","0","0","0","0","0","2011","Other","0","0","0"
"1374 ALKI AVE SW","98116","1","2","1","0","0","0","0","0","0","0","0","2015;2020","Other","0","0","0"
"9014 1ST AVE NE","98115","5","5","1","0","0","0","0","0","0","0","0","2007;2008;2014","Other","0","0","0"
"2700 4TH AVE","98121","7","7","1","0","0","0","1","0","0","0","1","2018;2020;2021;2023","Other","0","0","0"
"10058 LAKE SHORE BLVD NE","98125","5","3","1","0","0","0","0","0","0","0","2","2019;2024","Other","0","0","0"
"4753 18TH AVE NE","98105","4","10","1","5","0","0","0","0","0","1","6","2003;2020","Other","0","0","0"
"8020 MARY AVE NW","98117","6","1","1","0","0","0","0","0","0","0","0","2022","Other","0","0","0"
"921 38TH AVE","","3","1","1","0","0","0","0","0","0","0","1","2020","Other","0","0","0"
"2501 NE 82ND ST","","4","2","1","0","0","0","0","0","0","0","1","2019;2023","Other","0","0","0"
"2200 MINOR AVE E","98102","3","1","1","0","0","0","0","0","0","0","0","2014","Other","0","0","0"
"924 25TH AVE","","3","1","1","0","0","0","0","0","0","0","0","2021","Other","0","0","0"
"12017 BARTLETT AVE NE","98125","5","2","1","0","0","0","0","0","0","0","0","2022;2025","Other","0","0","0"
"420 VALLEY ST","98109","7","2","1","0","0","0","0","0","0","0","0","2019;2020","Other","0","0","0"
"1126 NEWPORT WAY","98122","3","2","1","0","0","0","0","0","0","0","1","2015;2021","Other","0","0","0"
"7422 EAST GREEN LAKE DR N","98115","6","8","1","1","0","0","0","0","0","0","3","2017;2018;2020;2025","Other","0","0","0"
"1007 W RAYE ST","98119","7","1","1","0","0","0","0","0","0","0","0","2016","Other","0","0","0"
"6107 44TH AVE S","98118","2","3","1","0","0","0","0","0","0","0","0","2012;2017;2023","Other","0","0","0"
"3638 43RD AVE W","98199","6","2","1","0","0","0","0","0","0","0","0","2009","Other","0","0","0"
"2334 SHORELAND DR S","98144","2","1","1","0","0","0","0","0","0","0","0","2009","Other","0","0","0"
"3404 SW MANNING ST","98126","1","1","1","0","0","0","0","0","0","0","0","2016","Other","0","0","0"
"2209 MINOR AVE E","98102","3","4","1","0","0","0","0","0","0","0","0","2008;2011;2020","Other","0","0","0"
"2726 47TH AVE SW","98116","1","1","1","0","0","0","0","0","0","0","0","2016","Other","0","0","0"
"6256 FLORA AVE S","98108","1","9","1","2","0","0","0","0","0","0","2","2010;2012;2017;2019;2022;2025","Other","0","0","0"
"4512 FREMONT AVE N","98103","6","1","1","1","0","0","0","0","0","0","1","2022","Other","0","0","0"
"511 STADIUM PL S","98104","1","3","1","0","0","0","0","0","0","0","1","2015;2025","Other","0","0","0"
"300 NW 110TH ST","98177","5","1","1","0","0","0","0","0","0","0","0","2024","Other","0","0","0"
"8070 25TH AVE NW","98117","6","5","1","0","0","0","0","0","0","0","0","2011;2013;2014;2018","Other","0","0","0"
"2300 NE 65TH ST","98115","4","4","1","0","0","0","0","0","1","0","2","2015;2023;2025","Other","0","0","0"
"9226 12TH AVE SW","98106","1","2","1","0","0","0","0","0","0","0","0","2017","Other","0","0","0"
"207 25TH AVE","98122","3","1","1","0","0","0","0","0","0","0","0","2021","Other","0","0","0"
"1100 23RD AVE E","98112","3","4","1","0","0","0","0","0","0","0","0","2016;2017;2019","Other","0","0","0"
"13735 DENSMORE AVE N","98133","5","1","1","0","0","0","0","0","0","0","0","2022","Other","0","0","0"
"11303 9TH AVE NE","98125","5","8","1","0","0","0","0","0","0","0","0","2008;2011;2013;2015;2016","Other","0","0","0"
"2034 NW 57TH ST","98107","6","2","1","0","0","0","0","0","0","0","1","2024;2025","Other","0","0","0"
"2131 52ND AVE SW","98116","1","1","1","0","0","0","0","0","0","0","0","2008","Other","0","0","0"
"3049 3RD AVE W","98119","7","1","1","0","0","0","0","0","0","0","0","2016","Other","0","0","0"
"1730 N 100TH ST","98133","5","5","1","0","0","0","0","0","0","0","0","2009;2012;2018;2020","Other","0","0","0"
"6702 14TH AVE SW","98106","1","7","1","0","0","0","0","0","0","0","0","2022","Other","0","0","0"
"5466 BEACH DR SW","98136","1","6","1","0","0","0","0","0","0","0","0","2006;2009;2018","Other","0","0","0"
"1918 NE 80TH ST","98115","4","7","1","0","0","0","0","0","0","0","0","2012;2022;2023;2024","Other","0","0","0"
"1202 S SULLIVAN ST","98108","1","6","1","0","0","0","0","0","0","0","3","2022;2024;2025","Other","0","0","0"
"704 N 92ND ST","98103","5","7","1","0","0","0","0","0","0","0","1","2015;2018","Other","0","0","0"
"2425 E UNION ST","98122","3","10","1","0","0","0","0","0","0","0","1","2004;2005;2007;2023;2024","Other","0","0","0"
"131 NW 50TH ST","98107","6","2","1","0","0","0","0","0","0","0","0","2010","Other","0","0","0"
"1434 37TH AVE","98122","3","3","1","0","0","0","0","0","0","0","0","2007;2013","Other","0","0","0"
"1743 NW 58TH ST","98107","6","3","1","1","0","0","0","0","0","0","0","2006;2007;2008","Other","0","0","0"
"1036 NE 117TH ST","98125","5","1","1","0","0","0","0","0","0","0","0","2022","Other","0","0","0"
"2611 S DEARBORN ST","98144","3","6","1","0","0","0","0","0","0","0","0","2016;2018;2022;2025","Other","0","0","0"
"301 M L KING JR WAY","98122","3","2","1","0","0","0","0","0","0","0","0","2010","Other","0","0","0"
"4813 FREMONT AVE N","98103","6","1","1","0","0","0","0","0","0","0","0","2017","Other","0","0","0"
"6850 S 133RD ST","","","1","1","0","0","0","0","0","0","0","0","2020","Other","0","0","0"
"5426 35TH AVE SW","98126","1","2","1","0","0","0","0","0","0","0","0","2010","Other","0","0","0"
"4252 8TH AVE NE","98105","4","11","1","1","0","0","2","0","0","0","2","2015;2017;2018;2020;2023","Other","0","0","0"
"7616 LATONA AVE NE","98115","6","2","1","0","0","0","1","0","0","0","0","2015;2025","Other","0","0","0"
"5419 RENTON AVE S","98118","2","11","1","0","0","0","0","0","2","0","2","2005;2007;2008;2017;2019;2020","Other","0","0","0"
"1901 1ST AVE","98101","7","4","1","0","0","0","0","0","0","0","0","2004;2017;2022","Other","0","0","0"
"11706 5TH AVE NE","98125","5","3","1","0","0","0","0","0","0","0","0","2009;2020","Other","0","0","0"
"2600 EASTLAKE AVE E","98102","3","12","1","2","0","0","0","0","0","1","4","2008;2019;2020;2022;2023;2024;2025","Other","0","0","0"
"905 SPRUCE ST","98104","2","1","1","0","0","0","0","0","0","0","0","2011","Other","0","0","0"
"931 N 36TH ST","98103","4","4","1","0","0","0","0","0","0","0","1","2018;2022;2023","Other","0","0","0"
"10638 EXETER AVE NE","98125","5","2","1","0","0","0","0","0","0","0","0","2013","Other","0","0","0"
"322 10TH AVE","98122","2","1","1","0","0","0","0","0","0","0","1","2022","Other","0","0","0"
"14333 37TH AVE NE","98125","5","11","1","0","0","0","0","0","0","0","0","2005;2010;2013;2016;2017","Other","0","0","0"
"2843 S ALASKA ST","98108","2","8","1","0","0","0","0","0","0","0","0","2006;2009;2014;2015;2024","Other","0","0","0"
"218 S FINDLAY ST","98108","1","5","1","0","0","0","0","0","0","0","4","2019;2021","Other","0","0","0"
"718 S ORCAS ST","98108","1","2","1","0","0","0","0","0","0","0","0","2018","Other","0","0","0"
"6901 A M L KING JR WAY S","98118","2","1","1","0","0","0","0","0","0","0","1","2024","Other","0","0","0"
"5455 42ND AVE SW","98136","1","2","1","0","0","0","0","1","0","0","2","2022","Other","0","0","0"
"3255 WEST VIEWMONT WAY W","98199","6","1","1","0","0","0","0","0","0","0","0","2009","Other","0","0","0"
"3217 EASTLAKE AVE E","98102","3","14","1","0","0","0","0","0","0","0","3","2004;2005;2017;2020;2023;2024;2025","Other","0","0","0"
"4557 8TH AVE NE","98105","4","1","1","0","0","0","0","0","0","0","0","2007","Other","0","0","0"
"8471 35TH AVE SW","98126","1","7","1","0","0","0","0","0","0","0","1","2005;2010;2015;2019","Other","0","0","0"
"3724 SW PRESCOTT PL","98126","1","5","1","0","0","0","0","0","0","0","1","2016;2019;2020","Other","0","0","0"
"509 1ST AVE W","98119","7","7","1","0","0","0","0","0","0","0","1","2012;2022;2025","Other","0","0","0"
"1808 24TH AVE E","98112","3","7","1","0","0","0","0","0","0","0","0","2013;2014;2016;2024","Other","0","0","0"
"706 N 76TH ST","98103","6","1","1","0","0","0","0","0","0","0","0","2005","Other","0","0","0"
"1878 24TH AVE E","98112","3","2","1","0","0","0","0","0","0","0","0","2008","Other","0","0","0"
"5920 S PRENTICE ST","98178","","1","1","0","0","0","0","0","0","0","1","2025","Other","0","0","0"
"5930 17TH AVE S","98108","2","5","1","0","0","0","0","0","0","0","1","2022;2023;2024","Other","0","0","0"
"8018 DENSMORE AVE N","98103","6","6","1","1","0","0","0","0","0","0","0","2008;2018;2019;2021","Other","0","0","0"
"834 S DONOVAN ST","98108","1","2","1","0","0","0","0","0","0","0","0","2007","Other","0","0","0"
"2103 41ST AVE SW","98116","1","1","1","0","0","0","0","0","0","0","0","2017","Other","0","0","0"
"4516 47TH AVE SW","98116","1","1","1","0","0","0","0","0","0","0","0","2012","Other","0","0","0"
"2501 E MADISON ST","98112","3","2","1","0","0","0","0","0","0","0","1","2022;2024","Other","0","0","0"
"7059 35TH AVE NE","98115","4","1","1","0","0","0","0","0","0","0","1","2023","Other","0","0","0"
"754 N 83RD ST","98103","6","2","1","0","0","0","0","0","0","0","0","2009","Other","0","0","0"
"9246 21ST AVE SW","98106","1","13","1","1","0","0","0","1","0","0","0","2014;2015;2016;2017;2025","Other","0","0","0"
"4415 SW ANDOVER ST","98116","1","1","1","0","0","0","0","0","0","0","0","2013","Other","0","0","0"
"1527 1ST AVE W","98119","7","1","1","0","0","0","1","0","0","0","0","2009","Other","0","0","0"
"2043 N 78TH ST","98103","6","11","1","0","0","0","0","0","2","0","1","2009;2015;2016;2018","Other","0","0","0"
"1616 NW 67TH ST","98117","6","2","1","0","0","0","0","0","0","0","0","2010","Other","0","0","0"
"1041 NE 94TH ST","98115","5","1","1","0","0","0","0","0","0","0","0","2019","Other","0","0","0"
"9103 FAUNTLEROY WAY SW","98136","1","5","1","0","0","0","0","0","0","0","0","2014;2016;2017;2019","Other","0","0","0"
"2450 DEXTER AVE N","","7","9","1","1","0","0","1","0","0","0","3","2017;2020;2021;2022","Other","0","0","0"
"406 SUMMIT AVE E","98102","3","3","1","1","0","0","0","0","0","0","1","2017;2025","Other","0","0","0"
"11 W FULTON ST","98119","7","2","1","0","0","0","0","0","0","0","1","2006;2021","Other","0","0","0"
"3101 W GOVERNMENT WAY","98199","6","1","1","0","0","0","0","0","0","0","0","2013","Other","0","0","0"
"816 S KENYON ST","","1","9","1","0","3","0","0","0","0","0","3","2010;2020;2022;2023;2025","Other","0","0","0"
"4231 12TH AVE NE","98105","4","10","1","1","0","0","0","0","0","1","2","2016;2018;2020;2021;2023;2024;2025","Other","0","0","0"
"12205 ASHWORTH AVE N","98133","5","5","1","0","0","0","0","0","0","0","0","2012;2016;2019","Other","0","0","0"
"9422 24TH AVE SW","98106","1","4","1","0","0","0","0","0","0","0","0","2012;2014","Other","0","0","0"
"5561 21ST AVE S","98108","2","2","1","0","0","0","0","0","0","0","0","2016;2021","Other","0","0","0"
"2329 48TH AVE SW","98116","1","5","1","0","0","0","0","0","0","0","0","2017;2018;2020;2021","Other","0","0","0"
"9040 3RD AVE NW","98117","5","10","1","0","0","0","0","0","0","0","0","2008;2010;2012;2013;2014;2020","Other","0","0","0"
"3935 SW ORCHARD ST","98136","1","2","1","0","0","0","0","0","0","0","0","2014;2015","Other","0","0","0"
"8646 10TH AVE SW","98106","1","4","1","0","0","0","0","0","0","0","0","2004;2014","Other","0","0","0"
"7045 16TH AVE NE","98115","4","3","1","0","0","0","0","0","0","0","2","2015;2024","Other","0","0","0"
"3635 NE 125TH ST","98125","5","1","1","0","0","0","0","0","0","0","0","2018","Other","0","0","0"
"4745 22ND AVE SW","98106","1","1","1","0","0","0","0","0","0","0","1","2024","Other","0","0","0"
"4911 LEARY AVE NW","","6","1","1","0","0","0","0","0","1","0","1","2019","Other","0","0","0"
"3410 E JOHN ST","98112","3","3","1","0","0","0","0","0","0","0","0","2009;2017","Other","0","0","0"
"11701 35TH AVE NE","98125","5","11","1","0","0","0","0","0","0","0","1","2012;2017;2019;2020","Other","0","0","0"
"4225 BEACH DR SW","98116","1","2","1","0","0","0","0","0","0","0","2","2020;2023","Other","0","0","0"
"10704 WHITMAN AVE N","98133","5","9","1","2","0","0","0","0","0","1","4","2017;2020;2022;2023;2024;2025","Other","0","0","0"
"2604 NE 82ND ST","98115","4","22","1","0","0","0","0","0","0","0","1","2014;2016;2018;2019;2020;2021;2022;2024;2025","Other","0","0","0"
"2303 N 64TH ST","98103","6","4","1","0","0","0","0","0","0","0","0","2015;2023;2024","Other","0","0","0"
"3217 36TH AVE S","98144","2","2","1","0","0","0","1","0","0","0","1","2023","Other","0","0","0"
"615 12TH AVE E","98102","3","2","1","0","0","0","1","0","0","0","1","2025","Other","0","0","0"
"10423 56TH AVE S","98178","2","1","1","0","0","0","0","0","0","0","0","2005","Other","0","0","0"
"1519 NE 50TH ST","98105","4","6","1","0","0","0","0","0","0","0","3","2017;2019;2022;2024;2025","Other","0","0","0"
"1306 NW 85TH ST","98117","5","1","1","0","0","0","0","0","0","0","0","2015","Other","0","0","0"
"1350 S BENNETT ST","98108","2","3","1","0","0","0","0","0","0","0","0","2014;2015","Other","0","0","0"
"804 JAMES ST","98104","3","3","1","0","0","0","0","0","0","0","1","2005;2016;2023","Other","0","0","0"
"8214 3RD AVE NW","98117","6","5","1","2","0","0","0","0","0","1","3","2015;2017;2022;2025","Other","0","0","0"
"1357 S SHELTON ST","98108","2","2","1","0","0","0","0","0","0","0","0","2016;2022","Other","0","0","0"
"11301 EXETER AVE NE","98125","5","3","1","0","0","0","0","0","0","0","0","2012;2015;2024","Other","0","0","0"
"9517 18TH AVE NW","98117","5","1","1","0","0","0","0","0","0","0","0","2020","Other","0","0","0"
"4761 35TH AVE NE","98105","4","1","1","0","0","0","0","0","0","0","0","2016","Other","0","0","0"
"2569 26TH AVE W","98199","7","10","1","0","0","0","0","0","0","0","1","2023;2024","Other","0","0","0"
